---------Profiling Report for CoOpI----------
Vector Size: 19310; Interval: 5.865112066268921; Reduction: 0
Vector Size: 19410; Interval: 5.821091175079346; Reduction: 0
Vector Size: 19510; Interval: 5.875803709030151; Reduction: 0
Vector Size: 19610; Interval: 5.925926685333252; Reduction: 0
Vector Size: 19710; Interval: 5.980555534362793; Reduction: 0
Vector Size: 19810; Interval: 5.929179906845093; Reduction: 0
Vector Size: 19910; Interval: 5.997745752334595; Reduction: 0
Vector Size: 20010; Interval: 6.059849977493286; Reduction: 0


Total Time:  7092.728457689285

