Distances,Errors
540.0,0.018141005
541.0,0.14548028
542.0,0.24101003
543.0,0.42186198
544.0,0.28848088
545.0,0.59891725
546.0,0.51182336
547.0,0.45959362
548.0,0.37233675
549.0,0.05689944
550.0,0.057095617
551.0,0.16465092
552.0,0.1868096
553.0,0.24166831
554.0,0.24332535
555.0,0.7226892
556.0,0.43736738
557.0,0.43359068
558.0,0.4881828
559.0,0.30187836
560.0,0.39567128
561.0,0.37864643
562.0,0.707291
563.0,0.46425745
564.0,0.6252965
565.0,0.7108705
566.0,0.9765948
567.0,1.0184906
568.0,1.1293975
569.0,1.6355598
570.0,1.2542189
571.0,1.3406355
572.0,1.198135
573.0,1.1084964
574.0,0.98724896
575.0,0.98596716
576.0,0.89558494
577.0,0.87528855
578.0,1.001853
579.0,0.9963067
580.0,1.0445535
581.0,1.0782843
582.0,1.540131
583.0,0.9717781
584.0,0.9174713
585.0,0.7277268
586.0,0.7239228
587.0,0.76022565
588.0,0.8107503
589.0,1.0725089
590.0,1.1743681
591.0,0.8054575
592.0,1.2086198
593.0,0.8522587
594.0,0.12664281
595.0,0.8498556
596.0,0.7245057
597.0,1.1590035
598.0,1.4577196
599.0,1.2250031
600.0,1.5577698
601.0,1.3759112
602.0,1.5968095
603.0,1.3583106
604.0,0.946631
605.0,1.055535
606.0,0.82356167
607.0,0.93037885
608.0,0.9773456
609.0,1.2504089
610.0,1.2600958
611.0,0.80899054
612.0,0.9768517
613.0,0.77291614
614.0,0.9094139
615.0,0.8859923
616.0,1.1477879
617.0,1.5963612
618.0,1.8060185
619.0,1.8201885
620.0,1.476716
621.0,1.3032824
622.0,1.1094072
623.0,1.2914765
624.0,1.0651417
625.0,0.76200193
626.0,0.8408714
627.0,0.82794625
628.0,0.94521886
629.0,0.8052857
630.0,1.2369016
631.0,1.1734517
632.0,1.2012433
633.0,1.3682193
634.0,1.4356258
635.0,1.6453732
636.0,1.8973105
637.0,2.171855
638.0,0.973262
639.0,0.8048521
640.0,0.7992077
641.0,0.7398108
642.0,0.5205386
643.0,0.8671074
644.0,0.766939
645.0,0.89708436
646.0,0.73801523
647.0,0.9191121
648.0,1.1672503
649.0,1.0640149
650.0,1.1297983
651.0,0.42875558
652.0,0.4400803
653.0,0.4221988
654.0,0.43963045
655.0,0.49348086
656.0,0.55496407
657.0,0.762252
658.0,0.70441806
659.0,0.80413586
660.0,0.54424864
661.0,0.5928259
662.0,0.9692788
663.0,0.8656129
664.0,0.3948441
665.0,1.3440584
666.0,0.74198955
667.0,0.89415133
668.0,0.7680013
669.0,0.7793158
670.0,0.698643
671.0,0.98710495
672.0,0.93857896
673.0,0.33846852
674.0,0.52784544
675.0,0.76188153
676.0,0.7235013
677.0,0.94908315
678.0,1.0224289
679.0,1.0491306
680.0,1.0986956
681.0,1.2996634
682.0,1.1533765
683.0,1.1245124
684.0,1.699731
685.0,0.8969673
686.0,0.6691713
687.0,0.92251927
688.0,1.2554878
689.0,1.259468
690.0,1.6873833
691.0,0.089644834
692.0,1.0382062
693.0,1.211059
694.0,1.2395501
695.0,1.2192628
696.0,0.3822502
697.0,0.68935573
698.0,1.2275587
699.0,0.4691412
700.0,1.2046072
701.0,1.4356583
702.0,1.383507
703.0,1.4807755
704.0,1.6377969
705.0,1.2535928
706.0,1.0829504
707.0,0.95264053
708.0,1.3949379
709.0,1.4569755
710.0,1.2631354
711.0,1.0063933
712.0,0.78990805
713.0,1.1022025
714.0,1.0542413
715.0,1.153445
716.0,0.93177503
717.0,0.80342525
718.0,1.0954025
719.0,0.8587281
720.0,1.086519
721.0,1.0584224
722.0,1.1305199
723.0,1.244197
724.0,1.2297657
725.0,1.2343245
726.0,1.2307663
727.0,1.0059971
728.0,0.7268968
729.0,1.0285639
730.0,1.1439576
731.0,1.3042654
732.0,1.1956887
733.0,1.3220315
734.0,1.0618204
735.0,1.0258391
736.0,1.1670569
737.0,1.0288937
738.0,1.249153
739.0,1.0299745
740.0,0.97878116
741.0,0.9042099
742.0,0.7813652
743.0,0.80357754
744.0,0.5413589
745.0,0.5680284
746.0,0.21038312
747.0,0.6380176
748.0,0.4657276
749.0,0.6085751
750.0,0.6789632
751.0,0.9065712
752.0,0.91446406
753.0,1.0194736
754.0,0.7804648
755.0,0.5251287
756.0,0.6161483
757.0,0.7254718
758.0,0.52201164
759.0,0.5122289
760.0,0.84194785
761.0,0.83290935
762.0,0.98922604
763.0,0.8630355
764.0,0.9061723
765.0,0.64375734
766.0,0.8377434
767.0,0.38366205
768.0,0.633057
769.0,0.5980572
770.0,0.6149728
771.0,0.7043742
772.0,0.74288166
773.0,0.77151436
774.0,0.8121619
775.0,0.869944
776.0,0.8352221
777.0,0.9904034
778.0,0.9710944
779.0,0.6577929
780.0,0.73304003
781.0,0.5452604
782.0,0.24163523
783.0,0.18109435
784.0,0.29771766
785.0,0.23653649
786.0,0.23690338
787.0,0.07837628
788.0,0.2721951
789.0,0.080947004
790.0,0.29317734
791.0,0.32798487
792.0,0.39864743
793.0,0.5064071
794.0,0.57388425
795.0,0.72367734
796.0,0.49551958
797.0,0.04678341
798.0,0.021392899
799.0,0.110291064
800.0,0.27140045
801.0,0.12479822
802.0,0.20818925
803.0,0.4056216
804.0,0.5513282
805.0,0.75618386
806.0,1.0008402
807.0,1.0386262
808.0,0.8481998
809.0,1.079598
810.0,0.8159873
811.0,0.69689953
812.0,1.0832763
813.0,0.9166685
814.0,0.7318295
815.0,0.639948
816.0,0.8145201
817.0,0.74899924
818.0,0.9386655
819.0,1.0397663
820.0,1.0311146
821.0,0.96047485
822.0,0.8857671
823.0,0.79132116
824.0,0.6691572
825.0,0.54269505
826.0,0.5317078
827.0,0.54660046
828.0,0.5746666
829.0,0.5625321
830.0,0.546875
831.0,0.727846
832.0,0.8242387
833.0,0.7466292
834.0,0.52428764
835.0,0.53572786
836.0,0.5908729
837.0,0.2997067
838.0,0.65648484
839.0,0.5348469
840.0,0.538955
841.0,0.26928043
842.0,0.096409455
843.0,0.07553734
844.0,0.2451169
845.0,0.10013377
846.0,0.035517268
847.0,0.27674076
848.0,0.42321548
849.0,0.3477063
850.0,0.53337544
851.0,0.6467073
852.0,0.7073989
853.0,0.54867244
854.0,0.28686523
855.0,0.7463493
856.0,0.7177335
857.0,0.38045484
858.0,0.30777225
859.0,0.27116236
860.0,0.4011713
861.0,0.791536
862.0,0.60755473
863.0,0.44062006
864.0,0.55635947
865.0,0.5118274
866.0,0.37817833
867.0,0.69803244
868.0,0.62387353
869.0,0.7691413
870.0,0.75615543
871.0,0.44444942
872.0,0.48593646
873.0,0.1312081
874.0,0.34176892
875.0,0.3865653
876.0,0.3153692
877.0,0.30251724
878.0,0.2118782
879.0,0.3152997
880.0,0.28877953
881.0,0.49919277
882.0,0.60527915
883.0,0.0770854
884.0,0.09200152
